seed,policy,round,observed,stable_found,precision,pool_stable_prevalence,discovery_acceleration_factor,stable_recall
41,uncertainty,3,1150,627,0.5452173913043479,0.56772,0.960363191898027,0.04417670682730924
41,uncertainty,4,1400,774,0.5528571428571428,0.56772,0.9738200923996738,0.054533925174381735
41,uncertainty,5,1650,901,0.546060606060606,0.56772,0.9618484570925915,0.06348199816811104
41,uncertainty,6,1900,1047,0.5510526315789473,0.56772,0.9706415690462681,0.07376875924751639
41,uncertainty,7,2150,1194,0.5553488372093023,0.56772,0.9782090417975451,0.08412597759458888
41,uncertainty,8,2400,1334,0.5558333333333333,0.56772,0.9790624486249089,0.09398999506799126
41,greedy,0,400,227,0.5675,0.56772,0.9996124850278306,0.01599379976044529
41,greedy,1,650,396,0.6092307692307692,0.56772,1.0731183844690504,0.027901077996195307
41,greedy,2,900,600,0.6666666666666666,0.56772,1.1742877944526644,0.04227436060029592
41,greedy,3,1150,822,0.7147826086956521,0.56772,1.259040739617509,0.05791587402240541
41,greedy,4,1400,1053,0.7521428571428571,0.56772,1.3248482652414166,0.07419150285351934
41,greedy,5,1650,1270,0.7696969696969697,0.56772,1.3557686354135308,0.08948072993729303
41,greedy,6,1900,1484,0.7810526315789473,0.56772,1.3757708581324373,0.10455858521806524
41,greedy,7,2150,1704,0.7925581395348837,0.56772,1.3960370244748885,0.12005918410484041
41,greedy,8,2400,1925,0.8020833333333334,0.56772,1.412815002700862,0.13563024025928275
41,ucb,0,400,227,0.5675,0.56772,0.9996124850278306,0.01599379976044529
41,ucb,1,650,390,0.6,0.56772,1.056859015007398,0.027478334390192347
41,ucb,2,900,592,0.6577777777777778,0.56772,1.1586306238599622,0.041710702458958644
41,ucb,3,1150,799,0.6947826086956522,0.56772,1.223812105783929,0.056295356866060735
41,ucb,4,1400,997,0.7121428571428572,0.56772,1.254390997574257,0.07024589586415839
41,ucb,5,1650,1217,0.7375757575757576,0.56772,1.2991893144080842,0.08574649475093356
41,ucb,6,1900,1428,0.751578947368421,0.56772,1.3238549766934775,0.1006129782287043
41,ucb,7,2150,1655,0.7697674418604651,0.56772,1.3558927673156926,0.11660677798914958
41,ucb,8,2400,1880,0.7833333333333333,0.56772,1.3797881584818807,0.13245966321426056
41,diverse_ucb,0,400,227,0.5675,0.56772,0.9996124850278306,0.01599379976044529
41,diverse_ucb,1,650,408,0.6276923076923077,0.56772,1.1056371233923548,0.028746565208201225
41,diverse_ucb,2,900,618,0.6866666666666666,0.56772,1.2095164282862443,0.0435425914183048
41,diverse_ucb,3,1150,835,0.7260869565217392,0.56772,1.2789525761321412,0.05883181850207849
41,diverse_ucb,4,1400,1050,0.75,0.56772,1.3210737687592475,0.07398013105051786
41,diverse_ucb,5,1650,1277,0.7739393939393939,0.56772,1.363241375923684,0.08997393081096315
41,diverse_ucb,6,1900,1500,0.7894736842105263,0.56772,1.3906039671149975,0.1056859015007398
41,diverse_ucb,7,2150,1721,0.8004651162790698,0.56772,1.4099646238974668,0.12125695765518213
41,diverse_ucb,8,2400,1938,0.8075,0.56772,1.4223560910307897,0.13654618473895583
53,random,0,400,211,0.5275,0.56996,0.9255035441083584,0.014808056705733735
53,random,1,650,368,0.5661538461538461,0.56996,0.9933220684852377,0.025826373780616182
53,random,2,900,514,0.5711111111111111,0.56996,1.0020196349061532,0.03607270685662152
53,random,3,1150,669,0.5817391304347826,0.56996,1.0206665914007695,0.046950663204435396
53,random,4,1400,811,0.5792857142857143,0.56996,1.016362050469707,0.0569162748263036
53,random,5,1650,964,0.5842424242424242,0.56996,1.0250586431371047,0.06765387044704892
53,random,6,1900,1102,0.58,0.56996,1.017615271247105,0.07733876061477998
53,random,7,2150,1236,0.5748837209302325,0.56996,1.008638713120627,0.08674292932837392
53,random,8,2400,1387,0.5779166666666666,0.56996,1.0139600439796943,0.09734016422205068
